subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject06,59,290.0,310.0,1.2974,77.85,1.5,90.0,84.0,12.150000000000006,12.150000000000006,15.606936416184979
subject06,60,295.0,315.0,1.3776,82.66,1.4,84.0,90.0,1.3400000000000034,1.3400000000000034,1.621098475683527
subject06,61,300.0,320.0,1.4449,86.7,1.4,84.0,90.0,-2.700000000000003,2.700000000000003,3.114186851211076
subject06,62,305.0,325.0,1.4561,87.37,1.5,90.0,63.0,2.6299999999999955,2.6299999999999955,3.0101865628934363
subject06,63,310.0,330.0,1.4303,85.82,1.25,75.0,60.0,-10.819999999999993,10.819999999999993,12.607783733395472
subject06,64,315.0,335.0,1.3698,82.19,1.05,63.0,93.0,-19.189999999999998,19.189999999999998,23.3483392140163
subject06,65,320.0,340.0,1.3124,78.74,1.0,60.0,75.0,-18.739999999999995,18.739999999999995,23.799847599695195
subject06,66,325.0,345.0,1.315,78.9,1.2,72.0,60.0,-6.900000000000006,6.900000000000006,8.74524714828898
subject06,67,330.0,350.0,1.3183,79.1,1.2,72.0,60.0,-7.099999999999994,7.099999999999994,8.975979772439944
subject06,68,335.0,355.0,1.3413,80.48,1.0,60.0,72.0,-20.480000000000004,20.480000000000004,25.447316103379723
subject06,69,340.0,360.0,1.3268,79.61,1.2,72.0,75.0,-7.609999999999999,7.609999999999999,9.559100615500563
subject06,70,345.0,365.0,1.3227,79.36,1.25,75.0,51.0,-4.359999999999999,4.359999999999999,5.493951612903225
subject06,71,350.0,370.0,1.2976,77.85,1.4,84.0,87.0,6.150000000000006,6.150000000000006,7.899807321772648
subject06,72,355.0,375.0,1.2508,75.05,1.4,84.0,87.0,8.950000000000003,8.950000000000003,11.92538307794804
subject06,73,360.0,380.0,1.2481,74.88,1.4,84.0,84.0,9.120000000000005,9.120000000000005,12.179487179487186
subject06,74,365.0,385.0,1.262,75.72,1.4,84.0,81.0,8.280000000000001,8.280000000000001,10.93502377179081
subject06,75,370.0,390.0,1.3141,78.85,1.4,84.0,81.0,5.150000000000006,5.150000000000006,6.531388712745727
subject06,76,375.0,395.0,1.3476,80.85,1.35,81.0,87.0,0.15000000000000568,0.15000000000000568,0.18552875695733545
subject06,77,380.0,400.0,1.3861,83.17,1.35,81.0,87.0,-2.1700000000000017,2.1700000000000017,2.6091138631718187
subject06,78,385.0,405.0,1.4207,85.24,0.9,54.0,54.0,-31.239999999999995,31.239999999999995,36.64946034725481
subject06,79,390.0,410.0,1.4154,84.92,0.9,54.0,54.0,-30.92,30.92,36.41073951954781
subject06,80,395.0,415.0,1.3918,83.51,0.9,54.0,54.0,-29.510000000000005,29.510000000000005,35.33708537899653
subject06,81,400.0,420.0,1.3639,81.84,1.1,66.0,66.0,-15.840000000000003,15.840000000000003,19.35483870967742
subject06,82,405.0,425.0,1.3147,78.88,1.1,66.0,75.0,-12.879999999999995,12.879999999999995,16.32860040567951
subject06,83,410.0,430.0,1.3109,78.65,1.25,75.0,75.0,-3.6500000000000057,3.6500000000000057,4.6408137317228295
subject06,84,415.0,435.0,1.3253,79.52,1.25,75.0,60.0,-4.519999999999996,4.519999999999996,5.684104627766596
subject06,85,420.0,440.0,1.3418,80.51,1.25,75.0,102.0,-5.510000000000005,5.510000000000005,6.843870326667501
subject06,86,425.0,445.0,1.3736,82.41,1.1,66.0,66.0,-16.409999999999997,16.409999999999997,19.912631962140516
subject06,87,430.0,450.0,1.3855,83.13,1.1,66.0,84.0,-17.129999999999995,17.129999999999995,20.606279321544566
subject07,1,0.0,20.0,1.079,64.74,1.1,66.0,66.0,1.2600000000000051,1.2600000000000051,1.9462465245597855
subject07,2,5.0,25.0,1.0888,65.33,1.1,66.0,66.0,0.6700000000000017,0.6700000000000017,1.0255625287004466
subject07,3,10.0,30.0,1.1012,66.07,1.1,66.0,75.0,-0.06999999999999318,0.06999999999999318,0.10594823671862144
subject07,4,15.0,35.0,1.1089,66.54,1.1,66.0,51.0,-0.5400000000000063,0.5400000000000063,0.8115419296663755
subject07,5,20.0,40.0,1.0933,65.6,1.1,66.0,63.0,0.4000000000000057,0.4000000000000057,0.6097560975609843
subject07,6,25.0,45.0,1.0915,65.49,1.1,66.0,66.0,0.5100000000000051,0.5100000000000051,0.7787448465414646
subject07,7,30.0,50.0,1.0958,65.75,1.1,66.0,66.0,0.25,0.25,0.38022813688212925
subject07,8,35.0,55.0,1.1132,66.79,1.1,66.0,66.0,-0.7900000000000063,0.7900000000000063,1.1828117981733883
subject07,9,40.0,60.0,1.1259,67.56,1.1,66.0,63.0,-1.5600000000000023,1.5600000000000023,2.3090586145648344
subject07,10,45.0,65.0,1.1156,66.94,1.05,63.0,69.0,-3.9399999999999977,3.9399999999999977,5.885867941440093
subject07,11,50.0,70.0,1.1161,66.96,1.05,63.0,63.0,-3.9599999999999937,3.9599999999999937,5.913978494623647
subject07,12,55.0,75.0,1.1111,66.66,1.1,66.0,63.0,-0.6599999999999966,0.6599999999999966,0.9900990099009851
subject07,13,60.0,80.0,1.0959,65.75,1.05,63.0,66.0,-2.75,2.75,4.182509505703422
subject07,14,65.0,85.0,1.1165,66.99,1.1,66.0,66.0,-0.9899999999999949,0.9899999999999949,1.4778325123152634
subject07,15,70.0,90.0,1.1184,67.1,1.1,66.0,60.0,-1.0999999999999943,1.0999999999999943,1.6393442622950738
subject07,16,75.0,95.0,1.1023,66.14,1.1,66.0,66.0,-0.14000000000000057,0.14000000000000057,0.21167221046265583
subject07,17,80.0,100.0,1.1139,66.84,1.1,66.0,66.0,-0.8400000000000034,0.8400000000000034,1.2567324955116748
subject07,18,85.0,105.0,1.1028,66.17,1.1,66.0,66.0,-0.1700000000000017,0.1700000000000017,0.2569140093698076
subject07,19,90.0,110.0,1.0854,65.12,1.1,66.0,57.0,0.8799999999999955,0.8799999999999955,1.3513513513513442
subject07,20,95.0,115.0,1.0927,65.56,1.15,69.0,102.0,3.4399999999999977,3.4399999999999977,5.24710189139719
subject07,21,100.0,120.0,1.0868,65.21,1.15,69.0,72.0,3.7900000000000063,3.7900000000000063,5.81199202576293
subject07,22,105.0,125.0,1.0924,65.55,1.2,72.0,69.0,6.450000000000003,6.450000000000003,9.83981693363845
subject07,23,110.0,130.0,1.1115,66.69,1.2,72.0,66.0,5.310000000000002,5.310000000000002,7.962213225371125
subject07,24,115.0,135.0,1.1274,67.64,1.2,72.0,90.0,4.359999999999999,4.359999999999999,6.44589000591366
subject07,25,120.0,140.0,1.1554,69.32,1.2,72.0,75.0,2.680000000000007,2.680000000000007,3.8661281015580022
subject07,26,125.0,145.0,1.1461,68.76,1.2,72.0,72.0,3.239999999999995,3.239999999999995,4.712041884816746
subject07,27,130.0,150.0,1.1549,69.3,1.2,72.0,63.0,2.700000000000003,2.700000000000003,3.8961038961039
subject07,28,135.0,155.0,1.1699,70.2,1.2,72.0,66.0,1.7999999999999972,1.7999999999999972,2.56410256410256
subject07,29,140.0,160.0,1.1549,69.29,1.2,72.0,81.0,2.7099999999999937,2.7099999999999937,3.9110982825804497
subject07,30,145.0,165.0,1.1754,70.53,1.2,72.0,78.0,1.4699999999999989,1.4699999999999989,2.084219481071883
subject07,31,150.0,170.0,1.1795,70.77,1.3,78.0,72.0,7.230000000000004,7.230000000000004,10.21619330224672
subject07,32,155.0,175.0,1.1683,70.1,1.3,78.0,72.0,7.900000000000006,7.900000000000006,11.269614835948653
subject07,33,160.0,180.0,1.1564,69.39,1.5,90.0,90.0,20.61,20.61,29.701686121919586
subject07,34,165.0,185.0,1.1685,70.11,1.5,90.0,93.0,19.89,19.89,28.369704749679077
subject07,35,170.0,190.0,1.1472,68.83,1.5,90.0,93.0,21.17,21.17,30.756937381955545
subject07,36,175.0,195.0,1.13,67.8,1.5,90.0,90.0,22.200000000000003,22.200000000000003,32.74336283185841
subject07,37,180.0,200.0,1.1198,67.19,1.1,66.0,66.0,-1.1899999999999977,1.1899999999999977,1.7710968894180648
subject07,38,185.0,205.0,1.0839,65.03,1.1,66.0,66.0,0.9699999999999989,0.9699999999999989,1.4916192526526202
subject07,39,190.0,210.0,1.0765,64.59,1.1,66.0,63.0,1.4099999999999966,1.4099999999999966,2.1830004644681784
subject07,40,195.0,215.0,1.0718,64.31,1.1,66.0,66.0,1.6899999999999977,1.6899999999999977,2.6278961281293696
subject07,41,200.0,220.0,1.0841,65.05,1.1,66.0,57.0,0.9500000000000028,0.9500000000000028,1.4604150653343626
subject07,42,205.0,225.0,1.1014,66.08,1.25,75.0,105.0,8.920000000000002,8.920000000000002,13.498789346246976
subject07,43,210.0,230.0,1.1049,66.3,1.25,75.0,75.0,8.700000000000003,8.700000000000003,13.122171945701364
subject07,44,215.0,235.0,1.1047,66.28,1.25,75.0,84.0,8.719999999999999,8.719999999999999,13.156306578153288
subject07,45,220.0,240.0,1.1081,66.49,1.1,66.0,63.0,-0.4899999999999949,0.4899999999999949,0.7369529252519099
subject07,46,225.0,245.0,1.1039,66.24,1.1,66.0,66.0,-0.23999999999999488,0.23999999999999488,0.36231884057970243
subject07,47,230.0,250.0,1.0983,65.9,1.1,66.0,66.0,0.09999999999999432,0.09999999999999432,0.1517450682852721
subject07,48,235.0,255.0,1.0884,65.3,1.1,66.0,96.0,0.7000000000000028,0.7000000000000028,1.071975497702914
subject07,49,240.0,260.0,1.071,64.26,1.25,75.0,54.0,10.739999999999995,10.739999999999995,16.713352007469645
subject07,50,245.0,265.0,1.0609,63.65,1.25,75.0,75.0,11.350000000000001,11.350000000000001,17.8318931657502
subject07,51,250.0,270.0,1.0667,64.0,1.0,60.0,78.0,-4.0,4.0,6.25
subject07,52,255.0,275.0,1.0807,64.84,1.25,75.0,60.0,10.159999999999997,10.159999999999997,15.669339913633554
subject07,53,260.0,280.0,1.093,65.58,1.1,66.0,51.0,0.4200000000000017,0.4200000000000017,0.640439158279966
subject07,54,265.0,285.0,1.1016,66.1,1.1,66.0,99.0,-0.09999999999999432,0.09999999999999432,0.15128593040846344
subject07,55,270.0,290.0,1.0978,65.87,1.1,66.0,66.0,0.12999999999999545,0.12999999999999545,0.19735843327766123
