subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject05,20,190.0,230.0,1.0954,65.72,1.05,63.0,57.0,-2.719999999999999,2.719999999999999,4.1387705416920255
subject05,21,200.0,240.0,1.1036,66.22,1.05,63.0,57.0,-3.219999999999999,3.219999999999999,4.862579281183931
subject05,22,210.0,250.0,1.1079,66.47,1.1,66.0,73.5,-0.46999999999999886,0.46999999999999886,0.7070859034150728
subject05,23,220.0,260.0,1.114,66.84,1.15,69.0,87.0,2.1599999999999966,2.1599999999999966,3.2315978456014314
subject05,24,230.0,270.0,1.1314,67.89,1.15,69.0,57.0,1.1099999999999994,1.1099999999999994,1.6349977905435253
subject05,25,240.0,280.0,1.1442,68.65,1.175,70.5,57.0,1.8499999999999943,1.8499999999999943,2.6948288419519217
subject05,26,250.0,290.0,1.1587,69.52,1.225,73.5,70.5,3.980000000000004,3.980000000000004,5.724971231300351
subject05,27,260.0,300.0,1.202,72.12,1.225,73.5,69.0,1.3799999999999955,1.3799999999999955,1.9134775374375974
subject05,28,270.0,310.0,1.2247,73.48,1.2,72.0,87.0,-1.480000000000004,1.480000000000004,2.0141535111595044
subject05,29,280.0,320.0,1.2531,75.18,1.2,72.0,76.5,-3.180000000000007,3.180000000000007,4.2298483639265845
subject05,30,290.0,330.0,1.255,75.3,1.2,72.0,76.5,-3.299999999999997,3.299999999999997,4.3824701195219085
subject05,31,300.0,340.0,1.2281,73.68,1.2,72.0,73.5,-1.6800000000000068,1.6800000000000068,2.280130293159618
subject05,32,310.0,350.0,1.1952,71.71,1.2,72.0,72.0,0.29000000000000625,0.29000000000000625,0.404406637846892
subject05,33,320.0,360.0,1.1774,70.64,1.2,72.0,72.0,1.3599999999999994,1.3599999999999994,1.925254813137032
subject05,34,330.0,370.0,1.1706,70.23,1.2,72.0,67.5,1.769999999999996,1.769999999999996,2.5202904741563374
subject05,35,340.0,380.0,1.1567,69.4,1.2,72.0,57.0,2.5999999999999943,2.5999999999999943,3.7463976945244872
subject05,36,350.0,390.0,1.1471,68.83,1.125,67.5,57.0,-1.3299999999999983,1.3299999999999983,1.9322969635333407
